               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11103,            0.029522,            0.054223,          0.00050032,                0.12,           0.0003413,          7.2397e-05,              0.1044,            0.021629,            0.052658,              0.0003,              0.0003,              0.0973
                   1,            0.093362,            0.029507,            0.050626,           0.0049123,                0.06,           0.0025499,          0.00068443,              0.0776,            0.023261,            0.048109,          0.00060986,          0.00060986,             0.09451
                   2,            0.075304,            0.030731,            0.047297,             0.41589,             0.39554,             0.24333,            0.096494,            0.055884,            0.022788,            0.046358,          0.00091918,          0.00091918,            0.091719
                   3,            0.062639,             0.03033,            0.045931,            0.090145,                0.24,             0.07063,           0.0099613,            0.061367,            0.019193,            0.045394,           0.0012275,           0.0012275,            0.088928
                   4,            0.054452,            0.026807,            0.045774,            0.074288,             0.65939,             0.10013,            0.029431,            0.049016,            0.015908,            0.044641,           0.0015345,           0.0015345,            0.086135
                   5,             0.05763,            0.023818,            0.044256,              0.3002,             0.41403,              0.3099,            0.071455,            0.055043,            0.013668,            0.042967,           0.0018398,           0.0018398,             0.08334
                   6,            0.055503,             0.02196,            0.043014,             0.45309,                0.54,             0.52096,             0.30132,            0.045559,            0.012217,            0.041003,           0.0021428,           0.0021428,            0.080543
                   7,            0.054967,            0.021636,             0.04051,              0.5305,                0.82,             0.70599,             0.26101,            0.038561,            0.011686,            0.038194,           0.0024432,           0.0024432,            0.077743
                   8,            0.053895,            0.020525,            0.036566,               0.494,             0.79592,             0.74456,             0.20252,            0.045302,             0.01033,            0.034898,           0.0027407,           0.0027407,            0.074941
                   9,            0.053598,            0.018811,            0.031714,             0.60693,             0.81193,             0.75193,             0.35751,            0.047814,           0.0088776,            0.030407,           0.0030348,           0.0030348,            0.072135
